forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h
2025-10-09,2025-10-09 05:00:00+00:00,9364,9126,8984,8946,9111,9644,10521,11016,10965,10672,10478,10432,10475,10524,10561,10641,10849,11095,11225,11250,11088,10726,10300,9798,9408,9138,8967,8915,9029,9458,10220,10834,10927,10677,10414,10238,10163,10110,10082,10146,10376,10668,10833,10839,10701,10361,9962,9519,9134,8866,8708,8639,8670,8879,9260,9565,9569,9453,9426,9390,9387,9406,9502,9674,10038,10475,10755,10757,10579,10287,9901,9440,9087,8859,8701,8598,8575,8687,8938,9242,9389,9344,9312,9373,9527,9686,9840,10070,10489,10955,11238,11330,11139,10658,10087,9514,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508,11508
2025-10-10,2025-10-10 05:00:00+00:00,9415,9146,8973,8922,9041,9474,10248,10888,11033,10806,10508,10301,10207,10157,10138,10221,10463,10762,10905,10904,10754,10417,10019,9577,9194,8914,8730,8653,8677,8867,9244,9595,9647,9538,9493,9459,9460,9483,9575,9759,10140,10574,10814,10811,10634,10346,9972,9528,9170,8933,8782,8703,8690,8770,8984,9343,9555,9591,9620,9668,9755,9826,9899,10070,10462,10936,11186,11287,11090,10623,10078,9529,9180,8970,8847,8837,9008,9547,10459,11137,11204,11006,10845,10784,10789,10791,10770,10830,11088,11399,11466,11481,11279,10807,10291,9778,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425,11425
2025-10-11,2025-10-11 05:00:00+00:00,9168,8929,8790,8737,8773,8972,9338,9648,9597,9421,9391,9379,9379,9390,9433,9557,9847,10244,10541,10608,10469,10177,9773,9331,8984,8761,8623,8556,8561,8694,8992,9318,9442,9379,9336,9377,9459,9534,9610,9759,10088,10545,10846,10970,10789,10398,9952,9441,9098,8899,8796,8790,8960,9477,10370,11061,11111,10874,10688,10609,10599,10593,10574,10653,10897,11208,11354,11426,11255,10794,10276,9749,9368,9093,8933,8897,9066,9605,10505,11079,10942,10646,10549,10562,10622,10668,10635,10648,10813,11080,11288,11356,11192,10782,10315,9794,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667,11667
2025-10-12,2025-10-12 05:00:00+00:00,8956,8731,8590,8519,8513,8650,8958,9299,9434,9418,9435,9499,9599,9680,9750,9877,10155,10544,10807,10944,10762,10394,9965,9468,9131,8934,8822,8810,8980,9499,10407,11097,11111,10844,10679,10600,10567,10532,10508,10567,10820,11191,11447,11505,11291,10822,10314,9839,9493,9253,9128,9124,9326,9892,10798,11288,11058,10617,10396,10358,10398,10420,10375,10386,10617,11004,11302,11350,11156,10761,10284,9793,9454,9234,9108,9080,9236,9742,10621,11201,11102,10802,10714,10702,10698,10723,10697,10728,10884,11140,11300,11343,11167,10794,10301,9810,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523,11523
2025-10-13,2025-10-13 05:00:00+00:00,9156,8932,8797,8761,8930,9476,10417,11133,11128,10849,10673,10577,10536,10503,10476,10541,10828,11228,11455,11468,11268,10813,10295,9843,9481,9228,9104,9105,9311,9886,10786,11308,11148,10792,10625,10593,10613,10604,10527,10501,10684,11025,11312,11360,11158,10746,10245,9738,9410,9192,9073,9052,9216,9742,10646,11255,11138,10776,10608,10547,10517,10521,10489,10546,10756,11093,11298,11363,11187,10809,10336,9856,9508,9287,9164,9133,9305,9842,10741,11279,11214,10928,10817,10809,10835,10867,10878,10931,11087,11306,11417,11406,11222,10838,10385,9865,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228,11228
2025-10-14,2025-10-14 05:00:00+00:00,9485,9238,9115,9108,9301,9850,10741,11255,11080,10726,10607,10637,10716,10754,10694,10679,10846,11111,11336,11367,11181,10770,10278,9755,9412,9190,9060,9029,9182,9680,10561,11182,11130,10864,10802,10809,10801,10785,10746,10764,10884,11108,11299,11362,11184,10794,10313,9821,9449,9211,9072,9035,9190,9707,10588,11182,11216,11024,10957,10944,10955,10986,10982,11019,11132,11320,11421,11392,11215,10876,10470,9968,9569,9299,9122,9067,9179,9600,10379,11059,11281,11160,10990,10877,10832,10809,10794,10806,10878,11002,11057,11027,10854,10499,10098,9652,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759,10759
2025-10-15,2025-10-15 05:00:00+00:00,9493,9279,9149,9115,9263,9760,10657,11300,11230,10933,10852,10857,10855,10857,10821,10855,11014,11265,11400,11434,11258,10868,10386,9891,9505,9245,9080,9034,9197,9717,10612,11230,11307,11149,11093,11080,11113,11161,11170,11268,11476,11682,11680,11621,11434,11086,10655,10135,9719,9426,9230,9162,9269,9688,10469,11166,11363,11213,11026,10904,10826,10778,10739,10747,10852,11013,11091,11067,10902,10534,10119,9678,9289,9017,8844,8771,8795,9004,9424,9839,9918,9792,9705,9667,9645,9629,9640,9744,10004,10395,10699,10730,10547,10199,9751,9326,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823,10823
2025-10-16,2025-10-16 05:00:00+00:00,9483,9223,9063,9021,9167,9669,10563,11237,11344,11188,11129,11134,11172,11210,11229,11351,11576,11798,11799,11714,11536,11198,10758,10226,9803,9511,9323,9251,9358,9779,10550,11235,11430,11320,11213,11140,11125,11115,11085,11061,11171,11319,11326,11220,11030,10661,10265,9800,9409,9120,8931,8846,8866,9080,9511,9935,10038,9932,9846,9784,9745,9719,9733,9841,10124,10519,10834,10866,10657,10282,9841,9413,9089,8885,8785,8745,8769,8937,9257,9571,9512,9293,9180,9176,9225,9282,9295,9439,9831,10392,10816,10914,10720,10312,9807,9325,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538,11538
2025-10-17,2025-10-17 05:00:00+00:00,9901,9620,9432,9361,9466,9876,10631,11310,11517,11405,11287,11222,11233,11274,11298,11319,11417,11536,11504,11398,11195,10786,10341,9859,9467,9173,8976,8885,8899,9114,9544,9970,10069,9952,9866,9825,9829,9820,9831,9924,10190,10575,10886,10917,10700,10324,9874,9477,9161,8954,8854,8809,8841,9024,9359,9656,9592,9367,9258,9281,9363,9441,9456,9578,9927,10444,10863,10951,10748,10354,9854,9381,9091,8931,8863,8877,9079,9659,10646,11255,11051,10668,10492,10411,10398,10421,10421,10528,10814,11216,11469,11508,11307,10912,10386,9875,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507,11507
2025-10-18,2025-10-18 05:00:00+00:00,9380,9082,8884,8798,8818,9023,9451,9884,9993,9875,9788,9748,9751,9755,9799,9908,10159,10517,10825,10861,10632,10250,9797,9373,9057,8859,8767,8731,8768,8951,9291,9633,9599,9346,9184,9151,9191,9233,9243,9384,9772,10323,10774,10871,10689,10298,9826,9360,9063,8900,8829,8833,9027,9595,10570,11198,11008,10585,10359,10261,10242,10268,10278,10399,10708,11143,11397,11403,11189,10790,10284,9790,9442,9202,9076,9054,9248,9823,10770,11316,11010,10539,10354,10345,10388,10388,10333,10354,10619,11080,11438,11463,11256,10861,10374,9860,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584,11584
