forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h
2025-10-09,2025-10-09 05:00:00+00:00,65483,64003,63192,63162,64611,66733,70900,72424,72718,72758,73103,73754,74638,75517,76109,76554,77109,77582,77563,76878,75047,72131,69027,65908,64515,63016,62132,62098,63406,65157,69026,71043,71648,71666,71795,72102,72618,73232,73714,74107,74534,74536,74063,73207,71445,68909,66090,63218,61162,59975,58832,58269,58492,58672,60010,61575,62855,63997,65066,65939,66876,67940,68973,69890,70905,71649,71591,70945,69321,67008,64142,61603,60300,58739,57804,57393,57537,57390,58734,59779,61231,62845,64392,65712,67397,69346,70997,72395,73829,74860,74923,74354,72387,69207,65760,62590,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849,81849
2025-10-10,2025-10-10 05:00:00+00:00,64301,62853,62017,62023,63314,65029,68946,71074,71728,71690,71685,71862,72284,72816,73255,73652,74095,74150,73685,72873,71169,68679,65914,63105,60718,60006,58935,58432,58674,58815,60087,61764,63043,64023,64930,65666,66444,67372,68328,69272,70333,71118,70999,70387,68813,66590,63826,61398,60147,58615,57698,57351,57506,57701,58557,59806,61375,63020,64554,65825,67362,69117,70649,72019,73433,74387,74398,73887,72026,69025,65719,62638,61425,60094,59439,59592,61149,63326,67653,70166,71457,72569,73847,75189,76750,78135,78893,79362,79851,79923,79506,78586,76236,72634,68666,65553,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710,81710
2025-10-11,2025-10-11 05:00:00+00:00,61032,60271,59177,58681,58894,59000,60332,62001,63197,64258,65347,66234,67115,68094,69028,69858,70628,71099,71045,70488,68952,66671,63830,61386,60198,58749,57921,57640,57835,58090,59139,60468,61843,63277,64744,65924,67361,69037,70511,71772,73060,73984,74104,73691,71757,68832,65676,62677,61479,60181,59580,59773,61380,63584,67945,70435,71693,72730,73917,75182,76623,77922,78639,79093,79602,79750,79390,78583,76342,72819,68862,65685,64097,62416,61418,61277,62608,64744,69115,71184,72014,72933,74263,75619,77218,78645,79362,79726,80081,80073,79738,78914,76650,73143,69230,65664,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977,84977
2025-10-12,2025-10-12 05:00:00+00:00,60093,58712,57928,57655,57852,57735,59232,60498,61836,64289,64858,66048,67502,69180,70683,72017,73340,74200,74247,73778,71794,68840,65687,62682,61496,60196,59596,59800,61441,63681,68054,70504,71723,72790,74091,75433,76838,78102,78880,79394,79936,80079,79812,78889,76523,72924,68920,65780,64225,62581,61619,61511,62879,65129,69639,71544,72166,72885,74112,75451,76927,78163,78770,79104,79475,79658,79383,78540,76234,72825,68997,65512,64356,61744,61736,61619,62939,64972,69428,71524,72085,72692,73884,75145,76520,77747,78449,78847,79202,79443,79175,78344,76257,73049,69754,66351,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626,81626
2025-10-13,2025-10-13 05:00:00+00:00,61260,59989,59390,59550,61123,63314,67757,70277,71386,72259,73351,74578,75967,77298,78152,78690,79248,79410,79058,78109,75770,72222,68320,65277,63777,62191,61290,61258,62629,64778,69196,71254,71885,72515,73601,74826,76202,77414,78118,78541,78931,78999,78784,77935,75642,72214,68349,64841,63754,61197,61241,61182,62503,64435,68839,71169,71762,72241,73290,74450,75730,76898,77627,78103,78496,78758,78589,77779,75715,72535,69277,65923,64476,62408,61572,61569,63017,66134,70701,72618,73047,73466,74014,75046,76272,77365,77981,78322,78576,78658,78451,77674,75755,72721,69821,66544,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970,78970
2025-10-14,2025-10-14 05:00:00+00:00,63661,62092,61207,61129,62423,64494,68802,70875,71607,72321,73508,74864,76375,77616,78309,78770,79136,79126,78841,77976,75673,72148,68248,64722,62688,62117,61250,61202,62508,64409,68759,71054,71646,72128,73218,74358,75589,76703,77409,77853,78186,78334,78135,77333,75224,71996,68721,65369,62974,61481,61623,61659,63138,65656,70155,72208,72783,72841,73723,74772,76047,77218,77923,78351,78642,78712,78458,77653,75713,72736,69239,65830,63339,61760,61768,61674,62843,64874,68926,71379,72398,73042,73803,74654,75686,76608,77179,77468,77575,77096,76400,75437,73701,71073,67910,64720,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732,77732
2025-10-15,2025-10-15 05:00:00+00:00,63835,61308,61364,61277,62561,64463,68837,71192,71817,72256,73266,74384,75676,76860,77601,78104,78500,78626,78313,77389,75298,72142,68915,65575,64136,61694,61828,61841,62778,65819,70303,72412,73032,73113,73964,75007,76261,77429,78184,78708,79121,79225,78836,78046,76079,73029,69475,66073,63600,62999,62054,61965,62180,65153,69240,71753,72807,73545,74434,75371,76403,77368,78017,78340,78411,77796,77009,75971,74232,71607,68406,65188,62566,60685,60377,59714,59443,59874,61746,63547,65185,66824,68351,69612,70758,71702,72383,72874,73320,73652,73727,72943,71133,68516,65466,62914,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288,74288
2025-10-16,2025-10-16 05:00:00+00:00,64088,62052,61761,61745,62167,65481,69890,72143,72925,73170,74176,75382,76840,78202,79074,79660,80056,80044,79501,78529,76518,73437,69796,66333,64784,62228,62223,62084,62237,65195,69293,71769,72846,73716,74817,75942,77231,78361,79088,79429,79484,78844,77891,76671,74877,72266,69028,65767,63160,61293,61022,60374,59462,60449,62212,63945,65683,67436,69089,70427,71644,72588,73261,73712,74035,74179,74241,73452,71668,69093,66064,63086,61550,60080,59108,58661,58662,58574,60397,61800,62942,64214,65500,66712,67773,68770,69494,70215,71178,72188,72953,72577,70704,67832,64623,61663,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686,77686
2025-10-17,2025-10-17 05:00:00+00:00,64890,62305,62262,62095,62262,65241,69325,71785,72884,73750,74854,76010,77362,78554,79364,79737,79788,79147,78128,76822,74932,72271,69019,65760,63113,61189,60850,60154,59253,60311,62090,63793,65510,67218,68815,70133,71367,72273,72864,73254,73528,73597,73571,72840,71078,68564,65605,62719,61025,59751,58770,58363,58423,58391,60265,61627,62768,64017,65298,66493,67552,68552,69243,69909,70821,71826,72633,72257,70439,67728,64616,61743,59873,59787,59374,59753,61563,64547,69446,71427,71518,71477,71957,72556,73294,74112,74555,74862,75305,75938,76350,75666,73647,70631,67184,64426,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133,78133
2025-10-18,2025-10-18 05:00:00+00:00,62732,60836,60537,59896,59050,60137,61959,63634,65360,67125,68822,70329,71723,72855,73690,74241,74542,74589,74441,73708,71824,69152,66077,63094,61303,59987,58953,58493,58471,58308,60141,61670,62927,64171,65354,66330,67118,67807,68283,68885,69768,70826,71851,71649,69955,67315,64312,61500,59665,59616,59217,59608,61469,64591,69587,71584,71605,71314,71412,71680,72122,72658,72994,73333,73837,74688,75351,74782,72850,69864,66473,63800,61222,59808,59050,59064,60595,64279,68913,70941,71022,70863,71312,72006,72831,73563,73882,74048,74412,75184,75873,75389,73431,70333,66912,63651,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112,77112
