forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h
2025-09-22,2025-09-22 05:00:00+00:00,20317,19530,18968,18620,18608,19076,19832,20157,20932,22094,23548,24960,26265,27353,28057,28470,28521,28154,27388,26561,25753,24579,23106,21691,20611,19821,19238,18869,18822,19224,19908,20182,20935,22093,23454,24830,26076,27109,27778,28185,28284,27892,27082,26312,25491,24351,22946,21577,20532,19766,19202,18856,18803,19146,19762,20045,20750,21823,23118,24368,25561,26583,27187,27500,27467,27059,26277,25607,24868,23783,22457,21134,20080,19294,18726,18370,18309,18669,19333,19601,20223,21197,22342,23556,24692,25710,26434,26774,26768,26367,25618,24962,24279,23230,21943,20692,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438
2025-09-22,2025-09-22 05:00:00+00:00,20317,19530,18968,18620,18608,19076,19832,20157,20932,22094,23548,24960,26265,27353,28057,28470,28521,28154,27388,26561,25753,24579,23106,21691,20611,19821,19238,18869,18822,19224,19908,20182,20935,22093,23454,24830,26076,27109,27778,28185,28284,27892,27082,26312,25491,24351,22946,21577,20532,19766,19202,18856,18803,19146,19762,20045,20750,21823,23118,24368,25561,26583,27187,27500,27467,27059,26277,25607,24868,23783,22457,21134,20080,19294,18726,18370,18309,18669,19333,19601,20223,21197,22342,23556,24692,25710,26434,26774,26768,26367,25618,24962,24279,23230,21943,20692,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438
2025-09-22,2025-09-22 05:00:00+00:00,20317,19530,18968,18620,18608,19076,19832,20157,20932,22094,23548,24960,26265,27353,28057,28470,28521,28154,27388,26561,25753,24579,23106,21691,20611,19821,19238,18869,18822,19224,19908,20182,20935,22093,23454,24830,26076,27109,27778,28185,28284,27892,27082,26312,25491,24351,22946,21577,20532,19766,19202,18856,18803,19146,19762,20045,20750,21823,23118,24368,25561,26583,27187,27500,27467,27059,26277,25607,24868,23783,22457,21134,20080,19294,18726,18370,18309,18669,19333,19601,20223,21197,22342,23556,24692,25710,26434,26774,26768,26367,25618,24962,24279,23230,21943,20692,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438,26438
2025-09-23,2025-09-23 05:00:00+00:00,20277,19520,18957,18606,18575,18992,19688,19965,20713,21866,23231,24590,25818,26859,27562,28000,28122,27773,27030,26289,25528,24424,23022,21652,20614,19861,19312,18972,18925,19261,19873,20163,20880,21946,23196,24374,25481,26417,26937,27205,27176,26814,26099,25480,24726,23637,22310,21009,19965,19197,18648,18315,18266,18603,19246,19503,20015,20821,21781,22823,23822,24741,25408,25739,25723,25311,24577,24010,23405,22445,21224,20035,19059,18356,17855,17551,17516,17875,18486,18723,19327,20170,21123,22133,23173,24147,24849,25233,25284,24868,23981,23114,22412,21543,20477,19415,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116,24116
2025-09-30,2025-09-30 05:00:00+00:00,19618,18875,18320,17991,18005,18449,19148,19341,19882,20792,21997,23322,24615,25740,26477,26816,26808,26408,25654,24951,24186,23130,21811,20532,19531,18800,18271,17967,17951,18367,19169,19274,19741,20708,22011,23329,24635,25896,26716,27031,26946,26565,25892,25236,24457,23407,22146,20909,19848,19069,18487,18128,18109,18566,19359,19474,20010,20977,22224,23432,24550,25530,26109,26233,26016,25499,24810,24226,23624,22686,21436,20215,19173,18385,17834,17515,17485,17879,18596,18796,19272,20098,21130,22156,23135,24026,24642,24832,24721,24266,23479,22806,22167,21405,20337,19287,18352,17670,17208,16908,16824,16989,17281,17406,18117,19080,20049,20964,21754,22451,22938,23191,23204,22943,22437,22061,21527,20793,19814,18794,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067,23067
2025-10-09,2025-10-09 05:00:00+00:00,19104,18442,17960,17647,17569,17957,18654,18764,19141,19747,20538,21333,22251,23149,23820,24146,24138,23708,23153,22779,22207,21400,20408,19348,18408,17731,17245,16990,16993,17417,18147,18344,18704,19183,19767,20405,21157,21971,22692,23087,23165,22707,21972,21503,20931,20304,19477,18599,17752,17102,16630,16342,16253,16320,16500,16676,17229,18017,18874,19697,20512,21378,22104,22532,22584,22190,21535,21153,20586,19866,18994,18085,17292,16722,16319,16098,16025,16025,16113,16200,16854,17752,18710,19704,20754,21812,22609,23036,23134,22852,22278,21977,21304,20340,19180,18109,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906
2025-10-10,2025-10-10 05:00:00+00:00,18077,17444,17001,16790,16821,17237,17970,18224,18549,18945,19463,20048,20768,21569,22289,22700,22776,22311,21584,21171,20639,20026,19223,18379,17574,16962,16541,16291,16206,16256,16428,16671,17169,17826,18570,19319,20070,20888,21573,21999,22072,21695,21024,20655,20104,19462,18654,17809,17078,16557,16197,16031,15972,15981,16084,16223,16821,17619,18473,19395,20359,21323,22047,22460,22561,22302,21815,21554,20944,20083,19006,17985,17229,16736,16459,16366,16482,16976,17714,17977,18458,19184,20050,20897,21864,22755,23363,23675,23664,23276,22726,22407,21718,20754,19610,18537,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729,23729
2025-10-11,2025-10-11 05:00:00+00:00,18055,17418,16976,16716,16625,16685,16891,17156,17663,18379,19188,20017,20832,21690,22438,22865,22887,22436,21693,21285,20710,20027,19174,18286,17549,17034,16687,16508,16438,16445,16576,16760,17345,18145,19039,19994,21016,22034,22797,23224,23330,23033,22466,22112,21447,20565,19458,18422,17651,17147,16867,16760,16863,17368,18131,18392,18934,19764,20697,21614,22627,23554,24224,24573,24572,24164,23536,23163,22430,21443,20255,19133,18271,17704,17333,17121,17184,17668,18403,18525,19002,19829,20809,21777,22818,23781,24422,24739,24741,24307,23718,23359,22689,21738,20564,19394,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422,24422
2025-10-12,2025-10-12 05:00:00+00:00,17372,16881,16549,16361,16287,16306,16450,16613,17214,18069,19006,19978,21009,22030,22785,23224,23335,23026,22464,22110,21434,20528,19410,18360,17595,17098,16832,16724,16835,17342,18104,18352,18898,19774,20761,21721,22766,23754,24466,24842,24866,24424,23760,23326,22562,21568,20363,19236,18354,17764,17363,17130,17195,17696,18436,18551,19083,20005,21086,22153,23262,24276,24924,25245,25230,24761,24124,23732,23029,22058,20856,19659,18711,18045,17585,17333,17355,17775,18513,18727,19205,20031,21072,22124,23262,24324,25054,25427,25457,25056,24377,23968,23279,22337,21162,19988,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581,25581
2025-10-13,2025-10-13 05:00:00+00:00,17221,16766,16527,16417,16522,17005,17748,18046,18537,19282,20160,21059,22072,23072,23806,24218,24253,23830,23175,22770,22028,21022,19864,18774,17957,17430,17092,16909,16968,17429,18145,18368,18825,19557,20450,21356,22349,23308,23999,24344,24373,23983,23397,23039,22345,21379,20200,19037,18172,17580,17181,16982,17033,17430,18145,18474,18934,19658,20582,21526,22597,23629,24421,24854,24923,24553,23909,23485,22808,21900,20747,19606,18682,18057,17632,17418,17457,17948,18753,18975,19404,20143,21098,22030,23083,24042,24690,24985,24914,24440,23847,23480,22857,21976,20867,19733,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569,24569
