lid,state_id,lat,lng
ABOM8,MT,46.877222222222,-113.93138888889
ABNG1,GA,31.594166666667,-84.144166666667
ABGM2,MD,39.481666666667,-76.340555555556
ABRW2,WV,39.494722222222,-79.644722222222
ABEM6,MS,33.8293957,-88.5402036
ABBV2,VA,37.451517,-80.112736
ABDM6,MS,33.79,-88.315277777778
ACRT2,TX,30.246111111111,-97.68
ACYN4,NJ,39.3567,-74.4183
ACSC2,CO,38.9372,-107.3583
ACML1,LA,31.267777777778,-91.830833333333
ACSC1,CA,37.577434,-121.857734
ADLC1,CA,37.62659915,-121.8830126
AEXL1,LA,31.308888888889,-92.439166666667
AECC1,CA,37.69524,-121.84506
AFRA3,AZ,34.015555555556,-112.1679378
AFPU1,UT,40.4477297,-111.6821472
AFMA3,AZ,34.315277777778,-112.06333333333
ACMP1,PA,40.536111111111,-79.815
AFHA3,AZ,34.485277777778,-112.2375
AFRI1,ID,42.77889,-112.87694
ADXC1,CA,35.288333333333,-120.65027777778
ADLC2,CO,38.24805799,-104.3991356
ADKA2,AK,51.8633333333333,-176.631666666667
AHCC1,CA,38.016778,-122.13588
AGHC1,CA,35.148611111111,-120.53083333333
AGNO3,OR,42.5784422,-124.0581443
AGMC1,CA,35.124444444444,-120.56805555556
AHOC1,CA,37.46160337,-121.769397
AKYC1,CA,38.7636111111111,-120.3275
AKDA4,AR,34.121111111111,-93.046111111111
ALDN7,NC,36.438333333333,-81.654166666667
ALGC1,CA,35.100277777778,-120.62833333333
ALBO3,OR,44.638611111111,-123.106978
ALIA2,AK,56.898055555556,-154.24694444444
ALCF1,FL,27.9797421060249,-82.742323158436
ALDW2,WV,37.724166666667,-80.641666666667
ALGL1,LA,32.373801,-91.880754
ALKA2,AK,59.395,-138.08194444444
ALFW1,ID,48.178888888889,-116.99972222222
ALBN6,NY,42.646111111111,-73.7475
ALLA2,AK,66.565277777778,-152.6425
ALEC2,CO,38.66443715,-106.848095
ALMW3,WI,44.324,-91.9185
ALNI2,IL,38.866388888889,-90.146388888889
ALPT1,TN,36.396944444444,-85.174444444444
ALNP1,PA,40.623055555556,-75.482777777778
ALRW1,WA,46.800833333333,-122.30972222222
ALPW4,WY,43.19625,-110.88944
ALTC2,CO,38.66443715,-106.8453172
ALWP1,PA,41.10805556,-76.89
ALSV2,VA,36.9375,-80.745833333333
ALYM7,MO,37.14817,-91.44308
AMLC1,CA,37.67687486,-121.8143992
AMIL1,LA,30.728888888889,-90.484166666667
AMFI1,ID,42.767508,-112.879475
AMVC1,CA,37.6267295,-121.7045683
AMYM6,MS,33.98555556,-88.5511111
AMRL1,LA,29.449444444444,-91.338055555556
ANAW1,WA,46.0971,-116.9776
ANDI1,ID,43.3436111,-115.4775
ANBC2,CO,37.7902777777778,-107.666944444444
ANTA2,AK,61.238175,-149.8900037
ANKF1,FL,27.345552,-80.276275
ANGM6,MS,32.9717,-90.777
ANTI1,ID,43.966822,-111.672619
ANKM5,MN,45.1288,-93.2993
ANDM3,MA,42.6714806,-71.1492239
ANSI4,IA,42.08333856,-91.2673818
ANNM7,MO,37.336111111111,-90.788611111111
AOLC1,CA,37.5927944,-121.8831673
APEV2,VA,37.508245,-79.714401
ANVC1,CA,38.9133,-123.708
APAM2,MD,38.983055555556,-76.48
APCC1,CA,38.3682457,-122.3033085
APPV2,VA,37.33717,-78.5195
APNC2,CO,39.17998755,-106.8019826
APCF1,FL,29.726666666667,-84.981666666667
APRO3,OR,42.2415113,-123.1400485
APBA2,AK,59.772222222222,-151.83638888889
ARCN5,NM,36.801944444444,-107.69861111111
ARAI1,ID,43.358611,-115.44594
APTA2,AK,59.747222222222,-151.75305555556
ARCV2,VA,37.392634,-79.041099
ARCT2,OK,33.875,-95.501666666667
ARFN5,NM,36.7225,-108.20194444444
ARCC1,CA,40.9098217,-124.06058
ARCC2,CO,38.064604,-103.685472
ARDW1,WA,47.8186111111111,-120.4231
ARLW1,WA,48.203611111111,-122.12805555556
ARGW1,WA,48.261666666667,-122.04638888889
ARLT1,TN,35.3109497,-89.6395599
ARSA4,AR,33.5515,-91.2384
AROC1,CA,36.9001920853113,-121.59767779996
ASEN6,NY,41.950277777778,-74.208333333333
ARWO3,OR,42.3540058,-123.4067276
ASFN6,NY,44.4375,-73.681111111111
ARTN6,NY,43.9858,-75.9246
ASHK2,KY,38.4811922,-82.6365497
ARVA3,AZ,32.84423324,-110.6301
ARTT1,TN,36.5425219,-83.6300294
ASJC1,CA,34.264166666667,-118.73555555556
ASTO3,OR,46.208333333333,-123.76666666667
ATGM1,ME,44.39167,-68.20917
ATIC1,CA,38.017777777778,-121.80305555556
ATHO1,OH,39.32896188,-82.0876439
ATKA2,AK,52.232,-174.1726
ATTN6,NY,42.8647,-78.2834
AUGA4,AR,35.294444444444,-91.394166666667
AUBW1,WA,47.3125,-122.20277777778
ATPA3,AZ,31.83897238,-111.4042694
AUON6,NY,42.932222222222,-76.565277777778
AURO3,OR,45.233333333333,-122.75027777778
AUBM1,ME,44.0722,-70.2081
AUGG1,GA,33.373611111111,-81.943055555556
AVLN7,NC,35.608889,-82.578056
AVLA1,AL,33.210277777778,-88.288611111111
AVPC1,CA,37.6676,-121.88364
AWEC1,CA,37.5404908,-121.856345
AVON6,NY,42.922748,-77.757403
AYMC1,CA,37.6904857,-121.8732899
AVYC1,CA,38.2438067,-120.2910282
AXTV2,VA,38.805277777778,-77.038333333333
BABA3,AZ,31.70027778,-110.2263889
BAHM1,ME,43.8943,-69.81
AYOC1,CA,34.271806,-118.9225
BAGA4,AR,35.760277777778,-91.641111111111
AYSG1,GA,31.2380555555556,-82.3247222222222
BAHK2,KY,37.0169444444444,-88.2236111111111
AZAO3,OR,42.82484286,-123.1789492
BACT2,TX,28.973888888889,-96.012222222222
BAPT2,TX,30.1025,-98.5105555555556
BAKC2,CO,40.3258,-105.8561
BAIN6,NY,42.291388888889,-75.476666666667
BARK2,KY,37.0244444444444,-88.2227777777778
BAKI3,IN,39.2,-85.9256
BAWT2,TX,29.8083333333333,-96.0955555555555
BATN6,NY,40.700556,-74.014167
BATM3,MA,42.7636083,-71.0331722
BAXG1,GA,31.938888888889,-82.353611111111
BBGS1,SC,35.124017,-81.587872
BCBA3,AZ,34.541666666667,-113.44444444444
BBVK2,KY,36.862222,-83.8875
BBZT2,TX,30.626666666667,-96.543888888889
BCGN7,NC,35.12713056,-78.9748306
BCGV2,VA,39.2603,-78.3336
BCDW1,WA,46.7720459,-122.924298
BCKA1,AL,31.0072222,-88.0119444
BCKO3,OR,44.706944444444,-122.1
BCNU1,UT,41.5763213,-112.100782
BCLO3,OR,44.753611111111,-122.29722222222
BCSV2,VA,37.98058,-78.95328
BCTU1,UT,40.618611111111,-111.78111111111
BDDI1,ID,43.539722222222,-116.09361111111
BDBC1,CA,40.28848836,-122.1866645
BDGM3,MA,41.9339903,-70.9564307
BDDP1,PA,40.3925,-79.860277777778
BDKN4,NJ,40.551111111111,-74.548333333333
BDRN4,NJ,40.0817,-74.87
BEAC3,CT,41.442222222222,-73.063055555556
BEAO3,OR,45.266666666667,-123.84583333333
BEAW4,WY,41.43443899,-111.0176863
BEAP1,PA,40.763333333333,-80.315277777778
BECP1,PA,41.0808995,-77.54943419
BEAI2,IL,40.016851,-90.438897
BELM6,MS,33.16471,-90.49431
BELM8,MT,46.869166666667,-114.12583333333
BECU1,UT,41.5763213,-112.100782
BECV2,VA,37.536111111111,-78.829722222222
BEDI3,IN,38.7703,-86.4097
BERU1,UT,40.9652254,-110.8535079
BETP1,PA,40.615277777778,-75.379166666667
BEVW2,WV,39.119017,-81.737869
BEVO1,OH,39.544444444444,-81.640833333333
BFST2,TX,30.000583,-98.200361
BFTI1,ID,43.12527778,-112.518889
BFEI1,ID,48.698055555556,-116.3125
BFTN7,NC,34.718417,-76.673118
BFKW4,WY,43.8381,-110.4407
BFFU1,UT,37.15067778,-109.8666889
BGBM6,MS,34.01138889,-88.5136111
BGDA2,AK,64.156944444444,-145.86444444444
BFYG1,GA,32.93644444,-81.5025278
BGMC2,CO,39.8803,-106.3333
BGNN6,NY,40.639,-74.1463
BGLN4,NJ,39.7608,-74.1106
BHBM3,MA,42.3539,-71.0503
BIGU1,UT,40.656388888889,-111.82388888889
BHTA4,AR,33.875555555556,-93.304444444444
BIGI1,ID,43.660555555556,-116.27916666667
BIRN1,NE,41.22141,-101.0698
BILM8,MT,45.8001194,-108.4680306
BIKM2,MD,39.222777777778,-77.249444444444
BISV2,VA,36.760609,-80.62234
BIUI1,ID,42.012975,-111.921444
BISM2,MD,38.22,-76.0383333
BITM8,MT,46.83173889,-114.054861
BKBN6,NY,42.536944444444,-74.410833333333
BKCC1,CA,39.7261111111111,-121.707777777778
BKNM6,MS,31.0519,-89.2042
BKRA4,AR,36.1025,-91.097777777778
BKWN4,NJ,40.475,-74.575833333333
BLBA1,AL,30.40567,-88.24769
BLAN7,NC,35.299167,-82.623889
BLBV2,VA,36.741903,-80.002438
BLKC1,CA,40.90596479,-123.815335
BLOF1,FL,30.425,-85.031388888889
BLRL1,LA,30.281388888889,-91.686666666667
BLKO2,OK,36.811421,-97.277265
BLTM2,MD,39.27,-76.58
BLRC2,CO,39.6256,-106.0658
BLUO3,OR,44.162222222222,-122.3325
BLVI4,IA,42.27278,-90.42111
BMBP1,PA,40.99388,-76.4402778
BLUO2,OK,33.997041,-96.241099
BLTN7,NC,35.568333,-82.544722
BNAA1,AL,34.67,-87.3172222222222
BMTW1,WA,47.562,-122.624
BNMA3,AZ,32.95561778,-109.5311876
BNGN6,NY,42.0925,-75.915
BNGM1,ME,45.0666666666667,-69.9
BNNV2,VA,37.530555555556,-79.679166666667
BNRU1,WY,40.95902778,-110.5797222
BOGT1,TN,36.135806,-89.431667
BOOT1,TN,36.4411,-82.436388
BONN4,NJ,40.896944444444,-74.394722222222
BOON6,NY,43.5116666666667,-75.3066666666667
BOQT2,TX,29.1835386,-102.9754409
BONM8,MT,46.899722222222,-113.75555555556
BORW4,WY,42.2931,-110.87272
BOWD1,DE,39.0583,-75.3976
BOVM6,MS,32.34777,-90.69694
BOYO3,OR,42.0847,-122.0722
BOYM2,MD,39.206666666667,-77.288611111111
BOTN4,NJ,40.9075,-74.419166666667
BOZM7,MO,38.980278,-92.745278
BPCV2,VA,37.251466,-81.27141
BPRM1,ME,44.7963889,-68.76777778
BPXC1,CA,37.2333825,-122.3673389
BPNW4,WY,42.56717,-109.93015
BRAI1,ID,42.401667,-111.357156
BRAN6,NY,44.863611,-74.778611
BRBT2,TX,30.0928,-98.42318
BRBO3,OR,44.75262179,-122.1289648
BRBW4,ID,42.210767,-111.053314
BRCM6,MS,33.973271,-89.347764
BRDC1,CA,35.9302434,-120.8687915
BRDG1,GA,34.881666666667,-84.281666666667
BRGC1,CA,40.480385,-123.8908461
BRFI1,ID,43.495833333333,-115.3075
BREP1,PA,40.5225,-75.998611111111
BRHC3,CT,41.175819,-73.183969
BRIA2,AK,59.76,-150.83972222222
BRGN6,NY,41.6375,-74.617777777778
BRLO1,OH,41.046169,-81.0025922
BRIN6,NY,43.3533,-78.1931
BRKI3,IN,39.4074722,-85.01288889
BRKM2,MD,38.949722222222,-77.127777777778
BRLI4,IA,40.798055555556,-91.091666666667
BRNI1,ID,44.83633,-116.898586
BRON1,NE,40.39889,-95.6533
BROV2,VA,37.039444444444,-78.9457222222222
BRNW2,WV,38.842778,-80.620278
BRRK2,KY,36.891944444444,-86.124166666667
BRSN3,NH,43.5665,-71.7479
BRTA3,AZ,33.8180973,-111.6318055
BRTT2,TX,30.104444444444,-97.319166666667
BRWC1,CA,39.0001727,-121.4066238
