,INTERVAL_NUM,VALUE
,23,1020.66
,20,1290.92
,22,1123
,24,935.02
,19,1298.04
,21,1220.29
,18,1307.73
,23,0
,18,0
,20,0
,19,0
,21,0
,24,0
,22,0
,21,5822.59
,19,6244.16
,22,5396.74
,18,6287.57
,20,6117.39
,24,4601.77
,23,4963.06
,23,2216.31
,19,2954.87
,20,2855.28
,18,3050.9
,24,1985.73
,22,2482.23
,21,2709.82
,20,469.12
,23,383.01
,22,425
,24,347.4
,18,486.53
,21,454.53
,19,479.93
,19,169.78
,23,111.84
,21,142
,22,126.31
,20,156.29
,24,100.66
,18,177.68
,18,253.35
,19,247.71
,21,219.6
,24,151.49
,20,237.64
,22,197.01
,23,172.2
,20,1951.39
,22,1699.31
,23,1519.31
,24,1358.16
,19,2013.27
,18,2086.27
,21,1857.36
,19,44.17
,18,47.08
,20,40.85
,24,28.02
,21,36.33
,22,34.6
,23,29.95
,21,6388.91
,22,6075.3
,20,6492.99
,24,5390
,23,5698.23
,19,6496.86
,18,6483.36
,23,30232.77
,20,35532.03
,24,27888.46
,18,36112.11
,22,32607.07
,21,34105.27
,19,36145.99
,21,1317.29
,24,992.13
,22,1192.08
,23,1076.37
,19,1518.77
,20,1431.99
,18,1604
,18,2534.28
,19,2521.62
,23,1939.5
,24,1832.49
,21,2295.59
,22,2104.91
,20,2447.38
,21,3641.67
,22,3450.7
,23,3205.03
,20,3788.98
,24,2953.63
,18,4149.14
,19,3936.9
,23,184.51
,24,184.34
,22,184.54
,21,184.71
,19,184.6
,20,184.47
,18,184.29
,23,4870.21
,21,5490.97
,20,5772.44
,24,4557.08
,19,5967.02
,22,5194.99
,18,6098.84
,18,1414.3
,21,1283.57
,19,1407.88
,23,1129.36
,20,1367.17
,24,1085.26
,22,1198.67
,18,6773.8
,21,6164.85
,22,5753.72
,24,5098.84
,19,6663.41
,20,6516.9
,23,5363.37
,23,2266.5
,22,2469.13
,24,2095.9
,19,2824.21
,18,2842.57
,21,2672.94
,20,2808.76
,19,2974.73
,18,2950.88
,23,2495.28
,20,2947.86
,24,2319.96
,21,2841.38
,22,2684.25
,24,11859.55
,19,15506.96
,23,12834.01
,21,14728.13
,18,15109.55
,22,13944.14
,20,15346.73
,21,1753.05
,20,1855.01
,18,1936.76
,22,1632.72
,23,1527
,24,1446.42
,19,1915.28
,21,2797.95
,22,2596.59
,19,2770.45
,23,2372.51
,20,2826.73
,24,2171.03
,18,2748.17
,22,15325.36
,20,16549.38
,19,16945.2
,23,14289.28
,18,17374.01
,24,13152.92
,21,15896.94
,20,1051.73
,19,1049.33
,22,970.33
,23,900
,18,1056.22
,24,830.88
,21,1030.57
,23,2866.34
,24,2637.82
,22,3087.78
,18,3354.53
,19,3423.87
,21,3222.74
,20,3372.21
,20,5668.51
,22,5098.19
,18,6083.83
,19,5936.1
,21,5429.23
,23,4692.77
,24,4339.02
,19,2067.62
,24,1406.25
,22,1698.45
,21,1843.8
,23,1545.79
,18,2139.67
,20,1969.98
,20,501.98
,19,509.46
,24,366.85
,23,405.45
,21,480.25
,22,446.48
,18,529.4
,22,460.28
,24,375.82
,21,492.16
,23,419.41
,18,494.96
,19,499.5
,20,496.19
,22,65.25
,20,79.24
,24,53.83
,19,85.36
,21,72.75
,18,89.73
,23,58.62
,19,1045.05
,24,720.65
,21,897.25
,23,772.58
,22,832.73
,18,1104.73
,20,968.93
,19,756.49
,22,585.77
,21,633.03
,20,690
,24,509.52
,18,799.53
,23,546.38
,20,278.93
,18,305.2
,24,211.13
,23,226.2
,21,264.21
,19,288.57
,22,246.95
,4,826.45
,9,1157.56
,16,1248.41
,7,1076.6
,12,1181.38
,14,1220.4
,5,861.25
,10,1161.6
,2,845.79
,6,955.67
,18,1297.99
,17,1273.85
,19,1291.14
,20,1286.56
,23,1024.64
,24,939.14
,1,878.19
,3,827.62
,8,1143.55
,21,1219.74
,15,1235.5
,22,1125.16
,11,1167.14
,13,1203.93
,22,0
,5,0
,14,0
,15,0
,2,0
,9,0
,11,0
,18,0
,3,0
,4,0
,6,0
,10,0
,16,0
,12,0
,13,0
,24,0
,7,0
,19,0
,21,0
,20,0
,23,0
,1,0
,8,0
,17,0
,22,5718.71
,2,4237.97
,1,4450.95
,18,6802.31
,23,5282.24
,9,4291.51
,10,4356.32
,11,4569.31
,12,4892.13
,16,6481.86
,19,6685.7
,20,6482.42
,24,4889.24
,4,4003.24
,5,3999.84
,15,6164.47
,13,5310.25
,14,5749.29
,6,4105.04
,8,4280.63
,7,4227.86
,17,6645.68
,21,6117.1
,3,4085.99
,16,2864.35
,6,1691.08
,18,2935.6
,2,1801.82
,11,2106.4
,5,1632.62
,1,1950.21
,23,2177.16
,20,2744.37
,10,2020.27
,8,1884.63
,3,1686.16
,13,2354.65
,9,1944.8
,7,1813.15
,19,2829.9
,17,2953.26
,15,2706.21
,14,2526.07
,4,1630.59
,22,2429.89
,24,1969.31
,21,2626.94
,12,2211.76
,16,451.72
,8,317.58
,4,279.2
,5,276.7
,23,386.73
,15,424.41
,14,396
,24,351.18
,19,480.22
,18,483.69
,13,368.8
,12,346.81
,10,329.93
,7,302.76
,6,285.36
,21,452.74
,20,466.55
,9,327.35
,3,285.73
,2,300.97
,1,322.87
,22,429.14
,11,333.58
,17,473.41
,13,132.52
,17,168.68
,18,169.56
,2,90.34
,11,117.33
,15,153.5
,24,98.81
,22,122.59
,3,86.26
,5,84.01
,21,136.77
,7,98.32
,8,105.05
,14,142.72
,1,96.21
,10,113.39
,12,123.53
,20,149.27
,23,109.22
,6,89.08
,9,109.7
,4,83.39
,16,163.21
,19,161.44
,3,123.97
,5,116.57
,21,212.49
,14,192.97
,11,157.7
,10,150.01
,9,142.25
,2,133.84
,23,168.93
,4,117.81
,20,228.57
,19,237.75
,15,208.16
,6,120.83
,8,136.6
,1,146.63
,24,149.26
,7,131.66
,22,191.6
,16,223.87
,13,178.35
,12,167.04
,18,244.28
,17,238.17
,16,1983.63
,5,1130.28
,24,1342.8
,1,1356.84
,23,1482.99
,20,1861.69
,12,1542.68
,9,1336.56
,7,1252.41
,10,1397.87
,3,1164.59
,2,1249.58
,17,2027.91
,18,1993.53
,15,1880.94
,19,1908.91
,11,1467.63
,8,1296.95
,6,1169.35
,22,1652.74
,4,1124.77
,14,1758.39
,13,1641.87
,21,1790.08
,2,27.1
,4,25.42
,14,35.99
,6,26.47
,21,34.86
,10,29.07
,11,30.16
,24,27.26
,1,27.65
,3,25.61
,9,28.94
,5,25.07
,8,28.44
,17,45.09
,18,44.54
,12,31.7
,22,33.82
,13,33.11
,15,39.2
,16,41.93
,20,38.29
,23,29.28
,19,41.58
,7,28
,13,6268.67
,15,6289.62
,19,6502.66
,23,5733.77
,1,5237.74
,8,6181.77
,5,5163.36
,9,6232.65
,6,5490.93
,11,6225.86
,14,6286.86
,18,6483.94
,22,6103.94
,24,5419.46
,3,5054.59
,4,5040.72
,12,6235.93
,21,6412.13
,2,5120.43
,7,5929.23
,17,6383.81
,20,6508.71
,10,6238.69
,16,6314.73
,24,29166.03
,14,32007.07
,8,27589.76
,13,30158.39
,12,28933.58
,15,34212.54
,22,34175.3
,1,27516.79
,6,24872.71
,17,37966.93
,19,38484.23
,21,35735.97
,23,31698.44
,16,36436.96
,20,37432.61
,2,26006.8
,3,24678.86
,7,26609.82
,10,27901.09
,9,27875.77
,11,28190.91
,18,38802.91
,5,23950.52
,4,23925.24
,17,1607
,5,872.49
,19,1436.65
,22,1131.62
,23,1028.56
,6,930.36
,9,1026.41
,2,856.53
,10,1093.62
,8,986.9
,14,1493.5
,18,1517.88
,15,1577.19
,13,1405.69
,7,939.97
,11,1186.45
,12,1291.56
,16,1610.67
,20,1353.59
,21,1250.15
,24,945.29
,4,844.91
,1,894.69
,3,836.97
,21,2495.29
,10,2211.34
,7,2086.63
,11,2250.37
,13,2366.31
,12,2301.37
,15,2527.26
,17,2695.94
,20,2653.92
,5,1851.5
,16,2620.11
,19,2730.53
,2,1791.88
,18,2737.49
,22,2285.06
,23,2092.9
,4,1782.51
,6,1976.79
,8,2149.43
,14,2445.42
,1,1830.01
,3,1771.16
,9,2186.22
,24,1963.26
,16,4585.48
,20,4199.74
,21,4008.27
,8,2895.04
,1,2978.43
,13,3906.56
,17,4664.15
,23,3476.05
,24,3185.09
,22,3760.37
,6,2559.41
,11,3444.88
,9,3089.83
,10,3267
,12,3673.58
,18,4612.4
,19,4385.75
,3,2612.26
,4,2508.9
,2,2773.5
,7,2730.15
,5,2486.86
,14,4153.54
,15,4391.9
,14,184.43
,1,214.51
,13,184.52
,18,219.01
,22,241.94
,23,208.94
,7,230.93
,10,184.32
,16,184.71
,17,186.63
,21,242.97
,24,210.71
,5,223.37
,9,184.48
,11,184.22
,8,185.28
,20,253.74
,2,215.4
,12,184.2
,19,246.34
,15,184.54
,3,208.75
,4,220.15
,6,224.63
,14,5836.65
,18,6756.88
,10,4621.67
,9,4439.64
,24,4960.73
,17,6717.3
,15,6167.99
,11,4846.14
,6,4153.05
,23,5315.43
,5,4085.15
,7,4227.26
,4,4121.87
,21,6017.77
,19,6560.43
,2,4404.01
,8,4300.91
,20,6335.09
,16,6482.91
,13,5471.36
,12,5130.34
,3,4235.42
,1,4628.97
,22,5687.9
,10,1264.08
,12,1284.56
,3,1032.96
,2,1040.59
,20,1403.12
,19,1438.57
,7,1254.86
,15,1380.03
,13,1307.94
,1,1056.65
,6,1190.05
,4,1048.99
,22,1229.97
,11,1265.16
,17,1428.47
,21,1318.17
,24,1101.94
,23,1147.65
,8,1261.72
,14,1340.53
,9,1255.73
,5,1096.8
,18,1439.17
,16,1410.04
,8,5637.16
,17,7178.82
,21,6448.62
,22,6025.15
,10,5791.86
,5,4973.65
,16,7042.12
,18,7172.36
,20,6808.87
,23,5607.61
,11,5933.33
,9,5712.84
,14,6551.88
,2,4848.13
,4,4813.7
,12,6112.1
,19,7012.78
,24,5314.38
,1,4981.66
,3,4781.25
,6,5258.58
,7,5507.22
,15,6807.72
,13,6328.24
,19,2763.32
,5,1844.18
,13,2524.33
,21,2634.07
,9,2368.15
,10,2387.16
,7,2212.05
,15,2650.92
,17,2742.74
,22,2438.68
,1,1956.43
,4,1810.15
,12,2449.72
,8,2341.41
,16,2707.09
,18,2771.65
,20,2752.92
,23,2236.93
,24,2070.84
,11,2416.47
,14,2588.31
,2,1873.28
,6,1989.46
,3,1825.29
,2,2088.12
,13,2580
,7,2414.22
,23,2498.76
,22,2685.26
,20,2943.12
,14,2608.63
,12,2549.22
,11,2543.95
,1,2178.04
,24,2320.78
,19,2968.5
,18,2937.72
,17,2828.95
,9,2559.92
,8,2554.19
,6,2195.84
,3,2038.44
,21,2841.53
,4,2029.62
,10,2540.62
,5,2069.13
,15,2631.28
,16,2699.83
,14,12226.58
,16,13956.8
