forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-09-22,2025-09-22 05:00:00+00:00,57514.5201,55734.2301,54987.7994,53808.7694,53467.5596,53970.9105,55826.9199,56566.6192,59871.8002,65642.7998,69694.2596,72392.1592,75006.2298,77891.2196,79743.21,80692.5503,80860.0588,79831.6787,77606.9897,74995.8003,73037.7116,70349.2592,66790.9703,63253.8497,60578.7699,58379.3999,56659.6499,55516.7101,55128.9295,56013.0805,57891.4405,58667.1007,61327.281,66451.9896,69711.7704,72348.8392,75193.4805,78384.6997,80294.4211,81249.7802,81834.4685,81209.7313,79108.5621,76859.3502,74870.6308,72495.8011,68944.0,65026.8701,58836.9702,55993.8396,53913.2606,52692.5103,52251.15,53139.1194,55227.4598,55871.5801,57380.7096,60968.65,64054.9798,66419.7509,68596.4,71081.9603,72485.4205,72724.9893,72361.9299,71189.2991,69006.7008,66429.9902,65232.2205,62759.9499,59392.2804,56108.2795,54207.7446,52045.8704,50652.4035,49567.4563,49199.726,49723.1566,51855.1268,52527.3181,54809.3551,59179.6849,61702.159,63080.5504,64771.2197,66935.3402,68551.4097,69920.7991,70747.6031,70393.8253,68288.6276,65796.633,64192.5942,61955.8012,58711.8527,55424.1372,52455.8838,50213.9191,48834.2182,47658.6623,47228.3268,47668.5202,49605.9084,50292.7756,53133.0629,58019.342,61039.8821,63064.9498,65512.3192,68489.8922,70818.3165,72440.1267,73179.0669,72395.6331,69658.4137,66282.5304,63904.2784,61366.4231,58278.6706,55273.4875,52469.7175,50275.0721,48715.7821,47365.4002,46412.5559,45962.7994,46409.3788,46723.6057,50030.3608,55215.8739,58380.9157,60745.5065,63078.9082,65627.971,68012.2828,69944.3294,70906.9581,70299.2253,67627.1074,64400.6157,62329.5162,59940.9426,57133.9459,54282.6557,51613.9754,49599.5155,48207.551,46945.2374,45950.067,45359.4171,45532.2981,45681.1947,48646.6772,53569.4141,56524.477,58813.0018,61298.0613,64061.5261,66514.1355,68435.5171,69521.748,69411.0125,67290.6006,64489.6871,62713.4038,60397.5585,57072.4557,53719.378
2025-09-22,2025-09-22 05:00:00+00:00,57514.5201,55734.2301,54987.7994,53808.7694,53467.5596,53970.9105,55826.9199,56566.6192,59871.8002,65642.7998,69694.2596,72392.1592,75006.2298,77891.2196,79743.21,80692.5503,80860.0588,79831.6787,77606.9897,74995.8003,73037.7116,70349.2592,66790.9703,63253.8497,60578.7699,58379.3999,56659.6499,55516.7101,55128.9295,56013.0805,57891.4405,58667.1007,61327.281,66451.9896,69711.7704,72348.8392,75193.4805,78384.6997,80294.4211,81249.7802,81834.4685,81209.7313,79108.5621,76859.3502,74870.6308,72495.8011,68944.0,65026.8701,58836.9702,55993.8396,53913.2606,52692.5103,52251.15,53139.1194,55227.4598,55871.5801,57380.7096,60968.65,64054.9798,66419.7509,68596.4,71081.9603,72485.4205,72724.9893,72361.9299,71189.2991,69006.7008,66429.9902,65232.2205,62759.9499,59392.2804,56108.2795,54207.7446,52045.8704,50652.4035,49567.4563,49199.726,49723.1566,51855.1268,52527.3181,54809.3551,59179.6849,61702.159,63080.5504,64771.2197,66935.3402,68551.4097,69920.7991,70747.6031,70393.8253,68288.6276,65796.633,64192.5942,61955.8012,58711.8527,55424.1372,52455.8838,50213.9191,48834.2182,47658.6623,47228.3268,47668.5202,49605.9084,50292.7756,53133.0629,58019.342,61039.8821,63064.9498,65512.3192,68489.8922,70818.3165,72440.1267,73179.0669,72395.6331,69658.4137,66282.5304,63904.2784,61366.4231,58278.6706,55273.4875,52469.7175,50275.0721,48715.7821,47365.4002,46412.5559,45962.7994,46409.3788,46723.6057,50030.3608,55215.8739,58380.9157,60745.5065,63078.9082,65627.971,68012.2828,69944.3294,70906.9581,70299.2253,67627.1074,64400.6157,62329.5162,59940.9426,57133.9459,54282.6557,51613.9754,49599.5155,48207.551,46945.2374,45950.067,45359.4171,45532.2981,45681.1947,48646.6772,53569.4141,56524.477,58813.0018,61298.0613,64061.5261,66514.1355,68435.5171,69521.748,69411.0125,67290.6006,64489.6871,62713.4038,60397.5585,57072.4557,53719.378
2025-09-22,2025-09-22 05:00:00+00:00,56940.1996,55287.4399,54609.9107,53822.9501,53519.7691,54059.1101,55937.8892,56665.7006,59879.1594,65616.0396,69691.3304,72415.4691,75070.8695,78014.0403,79937.8694,80963.249,81202.8294,80258.3694,78054.2088,75413.1283,73471.4208,70771.1698,67176.6489,63574.2212,60476.5297,58319.9405,56613.17,55474.5696,55070.1908,55940.1107,57785.4795,58557.6694,61250.7707,66456.3286,69669.9187,72354.1611,75271.1909,78425.7512,80289.5909,81190.0398,81789.3806,81175.999,79093.5209,76810.7694,74808.9698,72426.3199,68844.7797,64956.6189,58844.6701,56000.8397,53919.5595,52698.4005,52256.7909,53144.3897,55232.5401,55876.4895,57385.7398,60974.3188,64060.9818,66425.8106,68602.5209,71088.2502,72491.9198,72731.4509,72368.2205,71195.6411,69012.8415,66435.9009,65237.6116,62765.1105,59396.8508,56112.4905,54121.3359,51959.6975,50555.3407,49470.2039,49103.5229,49624.2107,51750.2857,52402.3353,54661.1317,59031.8473,61483.3818,62840.6986,64537.3292,66668.4937,68261.3287,69605.6469,70419.5265,70041.4614,67919.3354,65434.3462,63849.6607,61621.6631,58380.3189,55093.4603,52120.8298,49881.3222,48499.5398,47334.7492,46914.5966,47359.7919,49306.3033,50000.5089,52819.9425,57646.9096,60606.669,62577.1552,64970.8937,67900.1347,70207.3225,71841.5362,72610.6514,71872.9177,69173.0166,65823.2718,63468.5522,60956.4311,57907.9745,54936.0934,52176.9896,49993.5516,48437.6212,47083.3542,46129.491,45670.0017,46091.8476,46378.5957,49645.6336,54785.5335,57884.0656,60209.725,62572.2405,65168.8125,67611.7147,69609.3495,70629.4261,70045.7982,67399.1701,64162.522,62075.7269,59668.9155,56874.5459,54055.2474,51436.1121,49421.69,48045.0973,46758.2828,45751.3671,45158.6929,45312.8409,45451.933,48418.5977,53331.9528,56269.02,58590.887,61149.9039,63997.7998,66547.7456,68541.2294,69684.0689,69585.6404,67414.399,64562.945,62708.8273,60356.5607,57008.8016,53629.1893
2025-09-23,2025-09-23 05:00:00+00:00,59609.2404,57191.1998,55667.4908,54453.6198,53946.01,54702.3396,56638.6892,57328.9805,60067.4701,65616.7509,68734.4594,71952.541,75182.2901,78164.7516,80136.9397,81266.949,81664.7108,81094.4288,79136.6501,76726.3297,74513.9893,71664.0091,67423.3404,63610.4912,59268.7001,56564.5504,54838.6585,53585.7,53172.1801,53916.9002,55935.3593,56622.3492,58709.6504,63327.3689,65714.4893,67675.6186,69635.5207,71772.0104,73179.2202,73855.7595,73907.951,73007.9703,70746.9289,68426.1387,66984.1315,64601.4194,60918.1109,57316.2299,53776.4597,51493.6093,49909.4595,48937.2303,48605.8993,49401.7593,51598.6796,52254.9188,54277.1899,58559.6701,60615.6092,62276.8703,64275.4494,66506.3516,68302.7399,69898.3903,70843.8695,70492.371,68345.6912,65860.2596,64237.4401,61887.7698,58334.6185,54798.7398,51216.8798,48733.2301,47029.3708,46016.5606,45675.24,46420.3101,48450.1203,49263.93,51954.2407,56513.9996,58841.2206,60796.4691,63133.8611,65775.43,68014.9902,69874.1985,70945.9804,70491.3509,68050.3882,64976.8405,62677.1,60158.6104,57082.5101,54055.62,51068.5896,48736.4996,47011.5998,45789.5008,44918.9407,44600.6903,45161.8508,45568.1698,48939.0497,54084.44,56709.1291,59210.7904,61797.2489,64310.3003,66807.0603,68963.7309,70114.649,69710.8697,67337.8416,64131.7895,61805.6295,59241.5802,56223.5794,53356.1906,50457.8901,48299.2098,46648.2197,45479.6888,44518.57,44054.7798,44277.0094,44483.8495,47728.4492,52771.7205,55376.2701,58120.7794,60966.2104,63827.4207,66514.5685,68730.5491,69979.1606,69815.1107,67638.3712,64656.5302,62618.2313,60050.9685,56479.7089,52984.6793,50810.9798,48518.6194,46936.0905,45967.4697,45741.2807,46657.0206,48509.0198,49233.8303,51384.3602,55279.9011,58497.4898,61459.0901,64435.7892,67298.2992,69372.1203,70682.4305,71216.5012,70441.7297,68023.8894,64913.3411,62986.2996,60238.8293,56947.3001,53712.9198
2025-09-23,2025-09-23 05:00:00+00:00,60329.0312,58185.9303,56270.4893,55136.2893,54801.4302,56396.6092,57995.7991,58417.5196,60282.1886,64654.64,72297.4697,76129.6489,75260.4711,77280.2279,79348.7602,80747.711,81513.7286,81779.3096,80119.9994,78241.3307,75865.3893,72877.2296,68530.4907,64449.8207,60163.911,57394.1493,55353.52,54154.7204,53663.4798,54336.3693,56102.4195,56681.1096,58891.4302,63263.8296,66336.1816,68758.7003,71199.319,73628.6585,75057.0209,75675.3097,75508.6415,74290.8489,71917.9012,69360.7783,67864.3788,65331.5386,61703.86,58038.2697,53311.4795,51143.6201,49557.3303,48615.1702,48372.2502,49230.7491,51319.0402,51984.4594,53942.6301,58209.4793,60080.2416,61407.5499,63297.0498,65502.1779,67312.2298,68732.2291,69819.5398,69659.759,67703.4405,65456.39,63884.0506,61460.1899,58020.9905,54543.7394,51105.5594,48741.4898,47114.9303,46135.09,45853.4297,46697.2104,48636.8094,49501.6997,52101.2903,56831.9403,59047.5008,60886.2091,63157.9285,65772.6786,67998.1801,69714.0109,70806.8999,70374.311,67940.2816,64962.7984,62709.0608,60171.33,57081.0703,53964.5894,50815.1206,48463.1897,46657.9502,45494.9997,44712.329,44549.0101,45040.43,45525.8706,48841.1608,54124.9703,56634.0899,59054.8692,61699.7795,64333.5111,66917.6297,68983.729,70180.4211,69895.4485,67514.269,64407.3506,62094.8995,59416.5003,56387.4001,53393.7007,50342.9905,48156.0899,46456.29,45358.09,44463.9994,44054.0597,44084.8201,44369.0098,47631.8593,52848.1596,55359.4401,57872.2003,60786.7904,63647.3106,66387.09,68545.7117,69843.4708,69784.4498,67784.1093,64958.8014,62974.2905,60281.8802,56671.5811,53012.6599,50052.5,47801.3195,46300.9804,45721.7495,45868.6699,47159.9303,49140.3205,50178.6092,52536.4691,57789.38,59710.8398,61550.3608,63885.9515,66509.5018,68820.6606,70289.9011,71118.4294,70731.6905,68655.2,66276.5003,64259.8402,61495.3801,57703.5695,54128.8103,50343.86,48091.7395,46688.7601,46026.5301,46039.7698,47374.73,49468.3404,50379.97,52488.3704,57565.5196,59226.5109,61002.1991,63572.1282,66338.9599,68768.8795,70455.2903,71576.6894,71321.7599,69422.9203,67107.7498,65162.3778,62471.0909,58642.4502,55083.2698
2025-09-30,2025-09-30 05:00:00+00:00,51738.3397,49578.7101,48530.9201,47669.3494,47897.0501,48248.7004,50073.7192,50686.9503,52423.4699,56203.0608,60932.8792,65968.7198,68552.9079,69144.6485,70618.1818,72075.7616,72918.1593,72408.72,70172.721,67179.7278,65205.8193,62247.6407,58626.4297,55151.4609,52262.2799,49864.2999,48082.3397,46957.7293,46620.3804,47322.0305,49129.8198,49820.7394,51914.3896,55788.7206,58618.8399,61631.1389,65110.3009,68761.4199,71840.0911,74044.2301,75101.5383,74447.4708,71556.6394,69306.1004,66991.3582,63980.2509,60229.7896,56541.1105,53370.3806,50855.2291,48959.7503,47821.9508,47385.0505,48054.2794,49783.0497,50458.3702,52696.49,56759.35,59730.8295,62743.4095,66170.1891,69715.6201,72530.6901,74461.6202,75286.8493,74427.3907,71460.0012,69251.6702,67134.0998,64245.6493,60669.7502,57140.8304,52927.6406,50761.0302,49272.5098,48074.9193,47700.5196,48087.1995,49763.9402,50567.0197,53293.28,58159.6105,60783.1812,62667.4099,65733.9299,69083.4904,72217.6798,74322.7002,75599.9414,74490.2597,70974.8612,68942.5615,66391.3502,63623.5295,60159.6502,56945.3801,53731.1304,51345.9803,49647.48,48188.8301,47216.9601,46473.9292,46683.2297,47150.8198,50680.8893,55730.0603,58136.7992,59732.9591,62388.9588,65071.7512,68034.1181,70410.2594,71999.9417,71093.1296,68072.2189,66226.3303,63858.959,61319.8705,58272.8091,55519.6509,52813.2798,50715.6497,49259.8392,47785.6398,46665.5899,45718.8597,45654.4195,45949.4699,49323.1809,54226.6904,56761.7799,58640.2199,61590.3398,64641.8194,67864.41,70419.0194,72143.7712,71589.02,68980.51,67475.1098,65320.0498,62737.8293,59156.9004,55783.7312,52608.9005,50420.8304,48938.53,47841.83,47499.5002,47968.4904,49728.0998,50676.2007,53572.2009,58173.9402,60727.5108,62548.3808,65443.9803,68510.5099,71424.4804,73490.0895,74893.0689,74022.4395,71092.2016,69636.6115,67350.5587,64517.7297,60634.5192,57035.6191,53714.2201,51471.6801,49873.2098,48661.9405,48210.1798,48623.78,50398.5099,51149.2701,53860.9807,58434.4992,60667.2195,62186.0511,64936.9003,67885.3606,70663.24,72751.3703,74199.7405,73440.2298,70589.4907,69282.9099,67107.4297,64445.65,60547.9904,57082.5201
2025-10-09,2025-10-09 05:00:00+00:00,54580.1412,52287.5107,50827.1905,49896.2909,49428.1505,50118.2701,52091.6697,52831.4897,55111.2494,60678.7095,63256.5108,64426.7878,66412.1606,68680.0909,70651.6186,72632.14,73579.1789,72733.0497,69878.9197,67719.5997,66118.5908,63801.1792,60459.9191,56989.6595,54057.0405,51289.5804,49609.9896,48481.3794,47935.7103,48543.4103,50280.84,51014.9195,53123.6004,58276.1602,60623.3295,61557.1801,63583.0789,65756.4803,67889.3478,70033.3104,71020.5204,70109.4287,67068.5786,64441.0088,62581.6693,60451.8295,58133.2598,55680.9899,51776.8197,49174.3294,47290.4298,46143.1401,45492.1496,45322.7006,45852.8604,46404.579,49215.1496,53984.9601,56394.6303,58173.3005,60805.8103,63879.0217,66685.5991,69007.5384,70242.5899,69410.4885,66519.6602,63842.2402,61679.2801,59397.4605,56413.9301,53471.5703,51633.9298,49178.8799,47836.1495,46788.1497,45959.9104,45614.6598,45837.2898,46220.9303,49259.8894,54401.4405,56455.0394,58125.8496,60720.9897,63574.861,66211.239,68549.071,69621.0698,69351.319,67424.7803,65496.6392,63782.0214,61720.5199,58463.5406,55193.7897,52477.6794,49872.7595,48302.1802,47470.4508,47346.6298,48408.1611,50462.1899,51521.6804,53917.5491,59020.8193,61345.0709,62890.0107,65427.2204,68350.4004,70718.8208,72930.8816,73977.9711,73291.9793,70660.3193,68559.2608,66682.4698,64006.8906,60356.8007,56722.9398,53778.1294,50994.0396,49282.8098,48238.4201,47954.4494,49007.3399,51302.4701,52125.6896,53765.8104,58276.13,60433.2998,62190.1696,65001.2402,68133.9104,70656.0291,72963.1991,74244.3182,73748.551,71345.5806,69234.1509,67133.68,64473.1103,60840.9496,57244.4603,54303.2504,51450.1496,49737.6702,48668.8996,48269.3396,49037.9293,51183.0796,51876.3499,53858.6706,58920.3294,61204.8906,63028.2604,65843.7896,69076.76,71682.1395,74154.2713,75479.4003,74798.4198,71799.6498,69361.0806,67312.31,64466.5801,60822.0892,57062.9103
2025-10-10,2025-10-10 05:00:00+00:00,53336.5007,51061.4702,49649.4703,48854.2498,48213.9796,48900.7598,50453.1596,51246.1403,53242.8501,58694.6802,61254.2713,62242.9792,63780.3806,66028.1887,67983.071,70039.2996,71038.3907,70147.3412,67257.2496,64595.9607,62760.5104,60893.1492,58368.7601,55567.7298,53062.49,50512.8702,48841.9002,47673.55,46840.1491,46502.3293,46740.23,47219.11,49836.8092,55247.9901,57671.1806,59273.7503,61290.47,63725.3887,65732.9705,67710.0699,68797.7304,67668.7288,64970.1701,62410.2803,60481.0001,58572.5791,56315.8904,53980.5307,50819.1097,48527.2198,47456.2608,46478.7603,45626.7997,45295.5407,45431.2396,45919.9907,48931.3797,54463.0797,56977.9503,58995.72,61442.5404,64565.7493,67160.1603,69464.2598,70454.8897,69956.839,67836.6513,65642.44,63853.1998,61838.7997,58538.3091,55204.9904,52190.2306,49693.5608,48290.2006,47669.1501,47455.9196,48549.1707,50473.4502,51675.4096,53523.3308,58391.7502,61269.9193,63262.1401,65471.6111,68508.1693,70695.5007,72736.1706,73594.8113,72796.7905,70210.7895,68006.0901,66187.959,63813.4605,60023.5996,56289.4293,52929.6805,50283.8894,48697.8394,47887.0304,47545.4403,48565.0508,50693.8889,51619.5701,53206.6209,58445.7702,60781.8484,62421.3605,64787.079,67899.6101,70228.8895,72466.3295,73633.2096,72914.7208,70127.8294,67738.6896,65758.8292,63450.8687,59706.5899,56069.2995,52688.7198,50033.9291,48407.7498,47640.789,47317.3,48169.6998,50206.8599,51045.9597,52743.8402,57810.2689,60105.5305,61702.5502,63908.6292,66772.7803,68971.01,71153.2094,72313.501,71580.0488,68824.3099,66493.7793,64610.7799,62309.3302,58944.7498,55516.2395,52503.22,50070.68,48705.5002,47906.6507,47513.4298,48400.8602,50454.2906,51431.9004,53330.729,58316.2705,60712.5704,62513.1598,65044.7983,68202.3709,70418.4707,72375.44,73276.0813,72416.19,69576.8594,67228.9902,65398.4507,63186.5613,59867.1308,56329.1104
2025-10-11,2025-10-11 05:00:00+00:00,50444.31,48525.7699,46988.1108,46059.2098,45367.3207,45085.5298,45459.4297,46017.4802,48691.7202,53755.3904,56372.8506,58272.1301,60770.0204,63731.7893,66635.2194,68925.3503,70148.7805,69144.8901,65962.1,63232.049,61085.2398,58888.0205,56073.72,53178.3996,50093.9801,48179.7897,46505.1493,45154.7304,44465.8993,44015.1597,44136.74,44725.4398,47647.4799,53030.7998,56438.3795,58956.6887,61079.1106,64217.2418,66950.9401,68867.7289,70121.5619,69545.9876,66775.3094,64454.92,62063.5706,59677.6187,56654.8897,53393.2395,50650.19,48404.5299,46952.8209,46167.9598,46090.9701,47128.9301,49243.9001,50292.5795,51890.4899,55933.3394,58754.7595,61080.9195,63754.3195,67092.1514,69863.7196,71937.5693,72994.5885,72257.1399,69294.899,66969.2304,64868.4898,62174.73,58401.0,54557.2098,51242.7796,48778.37,47078.1105,46148.4304,45920.4395,46806.4303,49023.9102,49808.4299,51430.2499,56110.8997,58550.2503,60528.8894,63316.0508,66794.7416,69843.3689,72246.2502,73597.6896,72880.6805,69550.7185,66784.6305,64668.8495,61968.6596,58258.56,54547.1301,51357.2206,48902.4706,47250.3695,46324.7801,46077.3498,46791.4899,48877.0496,49579.7101,51301.8194,55860.7097,58228.4803,60169.6494,62709.6087,65957.1811,68900.1589,71331.1693,72759.2212,72193.0208,68947.4406,66298.3286,64293.5206,61560.3401,57997.5904,54338.1695,51291.7506,48974.3102,47467.3793,46502.291,46203.3799,47004.3892,49141.0208,49942.7504,51741.6793,56149.0901,58781.369,61003.4901,63814.5602,67171.8808,70010.7891,72130.7706,73103.4603,72168.3399,68742.301,66166.6489,64250.8704,61679.3518,58376.3202,54853.4897,51936.7993,49612.5401,48118.0593,47173.32,46817.8193,47510.1307,49420.37,50271.6301,52012.7405,56325.0898,59000.5404,61103.039,63697.6794,66902.0719,69700.319,71762.6082,72564.041,71576.5791,68337.0305,65717.7303,63651.7201,61240.4297,58446.8602,55478.82
2025-10-12,2025-10-12 05:00:00+00:00,50024.4905,47950.8106,46510.1898,45228.9708,44488.8002,43911.8008,44017.6293,44380.4599,47405.6999,53223.6899,56776.9599,58903.4201,61143.6794,64539.0906,67268.3889,69202.3195,70269.3689,69822.4607,67101.8,64651.1709,62172.4004,59771.6201,56735.9095,53391.1696,51092.0501,48827.4099,47394.36,46526.4997,46465.8904,47500.2504,49564.0298,50552.94,52225.4,56280.8211,59164.451,61383.4499,64041.7708,67448.5188,70239.1415,72242.1903,73225.0182,72420.5586,69349.7392,66860.5186,64797.1004,62185.7396,58416.4398,54647.0802,51414.6008,48946.1501,47279.5604,46265.3399,46040.1193,46889.3602,49063.2993,49833.3004,51449.5196,56166.5611,58621.8293,60382.9396,62954.5898,66350.2591,69216.6519,71442.8399,72696.42,72005.14,68707.6507,65922.2505,63935.7698,61428.0405,57807.4701,54154.4197,50959.4601,48483.4601,46797.9308,45823.5694,45627.5804,46405.3503,48524.6504,49263.0302,50915.13,55445.3606,57776.7692,59470.4301,61727.8799,64818.3108,67603.4197,69916.3299,71255.8203,70653.4218,67362.79,64717.8804,62857.4408,60375.0705,57001.0,53461.4104,50591.0095,48393.0296,46848.6497,45891.2992,45651.5998,46526.5896,48640.6892,49544.0799,51256.8599,55350.2,58030.4804,60031.6999,62634.4806,65896.2794,68574.0483,70615.6493,71624.7998,70743.6106,67504.5999,65044.6295,63395.9889,61037.1306,57896.2699,54505.9,51769.1296,49495.1295,47989.4898,46941.2299,46613.42,47275.3307,49074.3396,49905.85,51825.2501,56296.0297,59069.8802,60951.8097,63353.1509,66521.98,69334.779,71368.3299,72172.38,71212.8889,67915.7003,65197.6299,63320.1704,61073.0804,58399.7702,55520.2605,53119.0198,50796.1797,49085.2207,47842.1303,47104.2296,46676.2192,47010.6201,47503.5697,50143.5801,55297.9397,57863.0889,59616.8995,61980.3602,64924.9503,67826.3785,70021.1391,71053.9383,69973.3996,66853.3088,64164.0391,62212.251,60086.6105,57332.87,54612.6404
