,city,state_id,county_name,lat,lng,population,Koppen,state_area,cities_allocation,county_area,cities_allocation_by_county,is_eastern
0,Sand Point,AK,Aleutians East,55.3227,-160.4834,1064.0,Dfc,100000.0,309.0,15011.6,5.0,False
1,Akutan,AK,Aleutians East,54.1594,-165.7328,1041.0,Ocean,100000.0,309.0,15011.6,5.0,False
2,King Cove,AK,Aleutians East,55.0858,-162.2978,1000.0,ET,100000.0,309.0,15011.6,5.0,False
3,Cold Bay,AK,Aleutians East,55.2122,-162.7475,125.0,Cfc,100000.0,309.0,15011.6,5.0,False
4,Nelson Lagoon,AK,Aleutians East,55.8451,-161.6103,86.0,Dfc,100000.0,309.0,15011.6,5.0,False
5,Unalaska,AK,Aleutians West,53.8984,-166.568,4432.0,Cfc,100000.0,309.0,14116.51,4.0,False
6,St. Paul,AK,Aleutians West,57.1815,-170.2743,481.0,Ocean,100000.0,309.0,14116.51,4.0,False
7,Adak,AK,Aleutians West,51.8815,-176.6295,326.0,Cfc,100000.0,309.0,14116.51,4.0,False
8,St. George,AK,Aleutians West,56.5791,-169.6114,101.0,Ocean,100000.0,309.0,14116.51,4.0,False
9,Anchorage,AK,Anchorage,61.1508,-149.1091,288000.0,Dfc,100000.0,309.0,1961.09,5.0,False
10,Bethel,AK,Bethel,60.7928,-161.7917,6586.0,Dfc,100000.0,309.0,45508.46,5.0,False
11,Kwethluk,AK,Bethel,60.7978,-161.4147,762.0,Dfc,100000.0,309.0,45508.46,5.0,False
12,Quinhagak,AK,Bethel,59.7511,-161.8993,706.0,Dfc,100000.0,309.0,45508.46,5.0,False
13,Tuntutuliak,AK,Bethel,60.3843,-162.6838,675.0,Dfc,100000.0,309.0,45508.46,5.0,False
14,Toksook Bay,AK,Bethel,60.5333,-165.1557,673.0,Dfc,100000.0,309.0,45508.46,5.0,False
15,Naknek,AK,Bristol Bay,58.7847,-156.8967,468.0,Dfc,100000.0,309.0,887.68,5.0,False
16,King Salmon,AK,Bristol Bay,58.753,-156.5061,361.0,Dfc,100000.0,309.0,887.68,5.0,False
17,South Naknek,AK,Bristol Bay,58.6638,-156.9908,46.0,Dfc,100000.0,309.0,887.68,5.0,False
18,Healy,AK,Denali,63.9454,-149.0152,968.0,Dfc,100000.0,309.0,12774.53,5.0,False
19,Denali Park,AK,Denali,63.5909,-148.7107,872.0,Dfc,100000.0,309.0,12774.53,5.0,False
20,Anderson,AK,Denali,64.3074,-149.1562,340.0,Dwc,100000.0,309.0,12774.53,5.0,False
21,Cantwell,AK,Denali,63.379,-148.8158,178.0,Dfc,100000.0,309.0,12774.53,5.0,False
22,Ferry,AK,Denali,64.0496,-148.9205,20.0,Dfc,100000.0,309.0,12774.53,5.0,False
23,Dillingham,AK,Dillingham,59.055,-158.5379,2360.0,Dsc,100000.0,309.0,20928.41,5.0,False
24,Togiak,AK,Dillingham,59.0693,-160.4727,841.0,Dsc,100000.0,309.0,20928.41,5.0,False
25,New Stuyahok,AK,Dillingham,59.4762,-157.271,509.0,Dfc,100000.0,309.0,20928.41,5.0,False
26,Manokotak,AK,Dillingham,58.893,-158.9109,440.0,Dsc,100000.0,309.0,20928.41,5.0,False
27,Aleknagik,AK,Dillingham,59.2946,-158.6896,220.0,Dsc,100000.0,309.0,20928.41,5.0,False
28,Fairbanks,AK,Fairbanks North Star,64.8353,-147.6534,63245.0,Dfc,100000.0,309.0,7444.02,5.0,False
29,Badger,AK,Fairbanks North Star,64.8006,-147.3877,18911.0,Dsc,100000.0,309.0,7444.02,5.0,False
30,College,AK,Fairbanks North Star,64.8694,-147.8217,12791.0,Dfc,100000.0,309.0,7444.02,5.0,False
31,Steele Creek,AK,Fairbanks North Star,64.9295,-147.3955,7704.0,Dfc,100000.0,309.0,7444.02,5.0,False
32,Chena Ridge,AK,Fairbanks North Star,64.7941,-148.0357,6111.0,Dfc,100000.0,309.0,7444.02,5.0,False
33,Haines,AK,Haines,59.2417,-135.4549,1863.0,Dsb,100000.0,309.0,2725.82,5.0,False
34,Mosquito Lake,AK,Haines,59.471,-136.1458,244.0,Dsc,100000.0,309.0,2725.82,5.0,False
35,Lutak,AK,Haines,59.3997,-135.6314,158.0,Dsc,100000.0,309.0,2725.82,5.0,False
36,Mud Bay,AK,Haines,59.1517,-135.3584,114.0,Dsb,100000.0,309.0,2725.82,5.0,False
37,Covenant Life,AK,Haines,59.3998,-136.0948,37.0,Dsc,100000.0,309.0,2725.82,5.0,False
38,Hoonah,AK,Hoonah-Angoon,58.1118,-135.4246,791.0,Cfc,100000.0,309.0,11376.73,5.0,False
39,Angoon,AK,Hoonah-Angoon,57.455,-134.4978,459.0,Cfc,100000.0,309.0,11376.73,5.0,False
40,Gustavus,AK,Hoonah-Angoon,58.4275,-135.7492,447.0,Cfb,100000.0,309.0,11376.73,5.0,False
41,Tenakee Springs,AK,Hoonah-Angoon,57.7913,-135.1955,135.0,Cfc,100000.0,309.0,11376.73,5.0,False
42,Pelican,AK,Hoonah-Angoon,57.9577,-136.2177,87.0,Cfc,100000.0,309.0,11376.73,5.0,False
