forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h
2025-10-10,2025-10-10 05:00:00+00:00,28651,27761,27171,26804,26895,27678,29208,30213,30607,31195,32277,33492,34741,36116,37265,38207,38552,38198,36969,35760,34503,33085,31500,29898,28439,27553,26851,26395,26187,26342,26807,27374,28197,29271,30624,32032,33524,34906,36142,37163,37617,37589,36645,35544,34360,32965,31414,29889,28785,27899,27244,26755,26534,26584,26918,27396,28303,29600,31132,32860,34608,36070,37408,38455,38972,39018,38166,37194,35848,34299,32433,30684,29512,28535,27838,27324,27291,27847,28917,29867,30409,31172,32092,33030,33804,34487,34976,35282,35458,35320,34716,34240,33428,32191,30707,29304,28275,27513,27010,26756,26931,27839,29508,30589,31139,31717,32671,33676,34596,35534,36172,36736,37068,36918,36362,35775,34864,33518,31735,30022,28831,27941,27365,27084,27203,28018,29678,30730,31254,32020,33229,34613,35923,37181,38184,38884,39233,38985,38157,37363,36208,34621,32609,30763,28713,27743,27091,26719,26801,27584,29211,30252,30833,31621,32874,34274,35648,36883,37852,38378,38639,38241,37298,36504,35337
2025-10-11,2025-10-11 05:00:00+00:00,28376,27438,26771,26322,26119,26281,26761,27336,28092,29118,30412,31738,33169,34557,35852,36926,37406,37345,36319,35261,34087,32725,31250,29703,28534,27638,26975,26535,26278,26362,26709,27141,28051,29281,30805,32509,34286,35943,37337,38494,39093,39175,38226,37275,35982,34374,32555,30791,29590,28565,27842,27272,27166,27582,28167,29085,29677,30645,31516,32324,33071,33748,34270,34609,34726,34681,34180,33708,33011,31814,30468,29092,28021,27291,26837,26545,26741,27588,29297,30430,30969,31655,32630,33575,34519,35553,36217,36713,36899,36806,36194,35503,34594,33260,31539,29824,28439,27580,27032,26742,26864,27693,29345,30401,30898,31605,32677,33778,34998,36260,37132,37903,38121,37916,37193,36415,35318,33900,31985,30232,28773,27902,27327,26988,27065,27882,29503,30607,31117,31882,33153,34411,35737,37090,38069,38868,39121,38870,37994,37187,36046,34524,32610,30749,28546,27607,26965,26587,26607,27371,28943,30011,30537,31328,32553,33791,35064,36348,37335,38015,38179,37787,36624,35589,34363
2025-10-12,2025-10-12 05:00:00+00:00,28575,27693,27047,26568,26326,26415,26711,27206,28047,29281,30689,32387,34130,35709,37210,38452,39036,39055,38197,37293,36077,34441,32545,30834,29417,28450,27740,27242,27171,27640,28637,29059,29667,30910,31674,32629,33455,34356,34932,35466,35765,35731,35230,34770,33971,32657,31166,29658,28440,27637,27143,26828,27004,27846,29467,30616,31185,31951,33016,34189,35450,36642,37580,38254,38426,38157,37371,36625,35600,34120,32215,30391,28972,28094,27489,27149,27242,28034,29601,30715,31234,31955,33098,34374,35725,37095,38133,38926,39170,38877,37988,37115,35953,34419,32433,30590,29118,28216,27605,27264,27347,28136,29689,30824,31341,32157,33389,34752,36154,37566,38711,39561,39817,39519,38703,37854,36733,35095,33135,31193,29574,28606,27962,27581,27591,28314,29931,30951,31532,32375,33641,34874,36156,37261,38186,38790,38885,38473,37388,36395,35192,33798,32237,30503,28146,27228,26545,26103,25888,25983,26428,26999,27795,28864,29998,31098,32115,33036,33835,34332,34531,34301,33447,32672,31654
2025-10-13,2025-10-13 05:00:00+00:00,29942,29030,28252,27782,27808,28512,29815,30610,31103,31540,32315,32994,33692,34464,35022,35561,35813,35653,35122,34694,33934,32712,31150,29619,28366,27663,27176,26888,26987,27864,29472,30541,31123,31878,32959,34157,35486,36833,37904,38729,39015,38626,37758,36893,35769,34194,32294,30487,29000,28125,27483,27179,27237,28044,29578,30673,31169,32022,33198,34473,35868,37354,38452,39166,39394,39048,38022,37100,35824,34292,32341,30465,28954,28083,27482,27157,27191,28016,29554,30595,31124,31918,33083,34321,35634,37064,38129,38956,39201,38896,37961,37048,35891,34437,32535,30765,29150,28250,27684,27320,27342,28088,29658,30737,31277,32071,33220,34373,35504,36689,37632,38365,38452,37938,36881,35926,34736,33468,31864,30286,28784,27846,27212,26779,26541,26681,27188,27717,28521,29519,30581,31604,32565,33459,34199,34701,34843,34582,33715,32989,31941,30839,29523,28230,26310,25560,25053,24757,24626,24777,25225,25709,26386,27126,27792,28429,29074,29703,30328,30922,31204,31335,30944,30744,30062
2025-10-14,2025-10-14 05:00:00+00:00,28320,27571,27056,26805,26969,27899,29527,30816,31435,32127,33121,34247,35334,36524,37459,38217,38498,38172,37388,36732,35660,34287,32452,30691,29129,28213,27559,27231,27317,28145,29685,30789,31266,32005,33091,34430,35736,37089,38117,38976,39282,38884,37867,37045,35847,34279,32324,30526,28936,27991,27321,26988,27050,27942,29498,30562,30986,31646,32723,34043,35404,36793,37861,38724,39031,38605,37677,36828,35674,34163,32356,30581,29070,28190,27546,27217,27284,28110,29697,30791,31274,32020,33171,34258,35499,36687,37634,38327,38457,37998,36913,35897,34710,33428,31855,30335,28970,27967,27206,26774,26565,26770,27331,27914,28679,29589,30573,31492,32329,33125,33828,34282,34346,34078,33224,32543,31670,30595,29382,28154,26936,26221,25670,25384,25291,25508,26014,26582,27195,27816,28392,28964,29533,30144,30696,31282,31632,31735,31484,31242,30597,29751,28505,27222,25952,25309,24906,24793,25079,26099,27695,28902,29340,29730,30452,31225,32195,33214,34019,34776,35078,34918,34444,34021,33104
2025-10-15,2025-10-15 05:00:00+00:00,29043,28158,27461,27169,27201,27989,29607,30714,31184,31941,33053,34301,35666,36993,38093,38894,39179,38867,37893,36965,35753,34122,32263,30458,28997,28079,27416,27083,27117,27895,29498,30528,31003,31697,32772,34033,35310,36668,37637,38390,38577,38176,37300,36483,35399,33894,32098,30340,28942,28082,27435,27128,27183,27955,29519,30603,31138,31889,32976,34086,35237,36444,37415,38121,38305,37875,36792,35795,34656,33315,31792,30184,28883,27931,27220,26792,26575,26711,27226,27737,28513,29460,30460,31400,32216,33020,33734,34165,34321,34088,33206,32455,31520,30458,29278,28086,26825,26132,25657,25400,25290,25466,25970,26463,27091,27742,28331,28931,29540,30172,30777,31413,31785,31981,31713,31488,30840,29902,28580,27296,26676,26053,25630,25502,25751,26717,28378,29624,30120,30629,31403,32155,33046,33993,34740,35385,35688,35563,35084,34602,33711,32460,30806,29171,27306,26506,25996,25769,25872,26718,28337,29455,29831,30255,30903,31467,32056,32677,33105,33408,33444,33174,32715,32322,31685
2025-10-16,2025-10-16 05:00:00+00:00,29318,28264,27539,27229,27276,28056,29644,30698,31146,31831,32908,34132,35447,36809,37903,38711,39004,38631,37728,36814,35691,34194,32438,30613,29105,28228,27608,27301,27390,28218,29840,30923,31398,32165,33322,34395,35592,36795,37713,38445,38643,38324,37293,36240,35141,33800,32263,30598,29207,28283,27525,27071,26864,27028,27555,28113,28897,29968,31142,32297,33309,34258,35113,35566,35734,35441,34445,33538,32434,31331,30004,28630,27133,26385,25850,25561,25484,25697,26187,26714,27340,27936,28402,28820,29264,29710,30216,30713,31109,31354,31111,30989,30455,29616,28475,27182,26544,25931,25563,25445,25710,26675,28372,29667,30096,30517,31149,31754,32550,33411,34156,34861,35164,35109,34637,34245,33461,32283,30675,28953,27857,27114,26626,26389,26549,27402,29052,30173,30531,30903,31438,31887,32367,32851,33220,33450,33544,33394,32983,32660,32065,31069,29705,28275,26607,25994,25575,25439,25676,26610,28353,29472,29688,29893,30240,30636,31103,31618,32117,32502,32778,32745,32377,32052,31471
2025-10-17,2025-10-17 05:00:00+00:00,29032,28114,27559,27225,27325,28085,29651,30881,31290,31966,33035,34090,35258,36548,37702,38500,38939,38521,37373,36284,35064,33685,32191,30638,29137,28169,27443,27016,26817,26948,27515,28006,28838,29913,30922,31870,32718,33474,34175,34505,34661,34336,33463,32615,31627,30656,29366,28137,26848,26160,25704,25479,25444,25697,26174,26749,27315,27837,28212,28562,29006,29428,29936,30423,30843,31075,30881,30762,30277,29462,28292,27066,26438,25836,25471,25397,25684,26670,28356,29674,30066,30481,31099,31695,32433,33353,34097,34749,35090,34963,34360,33932,33034,31797,30270,28654,27524,26826,26377,26191,26397,27241,28892,30050,30282,30483,30764,31021,31330,31751,32115,32281,32456,32332,31976,31784,31298,30374,29151,27864,26968,26431,26131,26075,26398,27364,29144,30295,30428,30432,30581,30844,31203,31677,32122,32524,32776,32760,32465,32242,31705,30724,29394,28026,26305,25701,25335,25227,25503,26437,28160,29354,29548,29643,29924,30156,30524,31009,31383,31668,31856,31789,31482,31257,30736
2025-10-18,2025-10-18 05:00:00+00:00,29431,28474,27800,27357,27138,27287,27773,28107,28875,29721,30478,31164,31702,32200,32666,33059,33233,33055,32315,31754,30976,30118,29017,27869,26612,25955,25551,25343,25342,25597,26283,26942,27539,28066,28351,28688,29031,29403,29800,30195,30563,30773,30568,30496,30132,29435,28317,27160,26385,25842,25519,25474,25757,26741,28461,29789,30111,30519,31068,31657,32250,33000,33630,34133,34383,34049,33462,33153,32469,31404,29988,28488,27326,26684,26294,26055,26268,27181,28892,30088,30301,30471,30793,31199,31494,31922,32257,32451,32595,32386,31988,31863,31414,30572,29382,27958,27029,26506,26202,26143,26429,27459,29255,30390,30439,30462,30855,31121,31494,32003,32506,32944,33211,33081,32750,32578,32011,31079,29797,28380,27418,26786,26382,26267,26493,27399,28986,30135,30516,30755,31184,31600,32079,32622,33098,33394,33619,33370,32912,32692,32125,31171,29877,28427,26584,25960,25551,25418,25612,26352,28021,29094,29520,29754,30179,30507,30923,31415,31829,32176,32272,31956,31323,30968,30399
2025-10-19,2025-10-19 05:00:00+00:00,26854,26231,25766,25565,25533,25789,26288,26937,27438,27951,28270,28570,28899,29264,29624,30037,30453,30597,30375,30417,29997,29327,28200,27078,26439,25871,25572,25534,25814,26732,28410,29753,30095,30550,31163,31744,32363,33201,33844,34328,34567,34184,33540,33167,32424,31340,29950,28489,27404,26709,26292,26157,26342,27195,28904,30150,30399,30640,30989,31304,31677,32129,32385,32492,32603,32333,31988,31847,31365,30543,29386,28137,27288,26771,26529,26524,26853,27847,29694,30946,31008,31014,31100,31247,31501,31927,32269,32489,32641,32435,32132,32037,31522,30700,29504,28233,27346,26772,26436,26370,26622,27526,29267,30482,30633,30813,31110,31360,31724,32262,32713,33045,33285,33071,32726,32563,32001,31066,29782,28419,27403,26726,26321,26194,26354,27153,28821,30058,30323,30601,31076,31440,31717,32185,32461,32610,32664,32320,31752,31410,30831,30061,29107,27937,26162,25517,25070,24858,24818,25075,25704,26393,27015,27701,28244,28611,28954,29346,29722,30138,30403,30427,30101,29807,29292,28648
